team_full_name,team_alias,map_name,map_played,map_win_rate,map_win,map_loss,map_atk_1st,map_def_1st,map_atk_rwin,map_atk_rw,map_atk_rl,map_def_rwin,map_def_rw,map_def_rl,agent_composition,agent_composition_played
Natus Vincere,NAVI,Haven,20,45,9,11,7,13,48%,98,105,49%,104,110,"[['jett', 'kayo', 'killjoy', 'omen', 'sova'], ['breach', 'fade', 'jett', 'killjoy', 'omen'], ['breach', 'chamber', 'fade', 'jett', 'omen'], ['breach', 'chamber', 'fade', 'omen', 'raze'], ['breach', 'chamber', 'fade', 'neon', 'omen'], ['astra', 'cypher', 'jett', 'kayo', 'skye'], ['astra', 'breach', 'jett', 'killjoy', 'sova']]","[1, 1, 2, 4, 1, 7, 4]"
Natus Vincere,NAVI,Split,23,57,13,10,9,14,51%,126,122,55%,146,121,"[['astra', 'jett', 'kayo', 'skye', 'viper'], ['breach', 'cypher', 'jett', 'omen', 'yoru'], ['astra', 'cypher', 'jett', 'skye', 'viper'], ['astra', 'gekko', 'jett', 'skye', 'viper'], ['chamber', 'fade', 'omen', 'raze', 'viper'], ['breach', 'cypher', 'omen', 'raze', 'sage'], ['astra', 'kayo', 'killjoy', 'raze', 'viper'], ['astra', 'killjoy', 'raze', 'reyna', 'viper'], ['astra', 'killjoy', 'raze', 'reyna', 'sage']]","[1, 1, 3, 1, 1, 1, 2, 11, 2]"
Natus Vincere,NAVI,Ascent,31,71,22,9,14,17,55%,177,143,58%,188,138,"[['cypher', 'fade', 'jett', 'kayo', 'omen'], ['fade', 'jett', 'kayo', 'omen', 'sage'], ['gekko', 'jett', 'kayo', 'omen', 'viper'], ['chamber', 'fade', 'kayo', 'omen', 'viper'], ['jett', 'kayo', 'killjoy', 'omen', 'sova'], ['astra', 'jett', 'kayo', 'killjoy', 'sova'], ['astra', 'breach', 'jett', 'killjoy', 'sova'], ['astra', 'killjoy', 'reyna', 'sage', 'sova']]","[5, 1, 1, 1, 3, 12, 7, 1]"
Natus Vincere,NAVI,Icebox,27,52,14,13,15,12,51%,163,158,53%,161,143,"[['cypher', 'jett', 'kayo', 'sage', 'viper'], ['chamber', 'reyna', 'sage', 'sova', 'viper'], ['chamber', 'fade', 'kayo', 'sage', 'viper'], ['chamber', 'kayo', 'sage', 'sova', 'viper'], ['chamber', 'killjoy', 'sage', 'sova', 'viper'], ['jett', 'kayo', 'sage', 'sova', 'viper'], ['jett', 'reyna', 'sage', 'sova', 'viper'], ['jett', 'killjoy', 'sage', 'sova', 'viper']]","[2, 1, 1, 2, 1, 10, 3, 7]"
Natus Vincere,NAVI,Breeze,14,36,5,9,4,10,44%,59,74,49%,76,79,"[['chamber', 'jett', 'kayo', 'sova', 'viper'], ['cypher', 'jett', 'skye', 'sova', 'viper'], ['cypher', 'jett', 'kayo', 'sova', 'viper'], ['cypher', 'reyna', 'skye', 'sova', 'viper']]","[2, 3, 2, 7]"
Natus Vincere,NAVI,Fracture,15,67,10,5,6,9,58%,88,64,53%,84,75,"[['cypher', 'fade', 'omen', 'viper', 'yoru'], ['cypher', 'kayo', 'omen', 'viper', 'yoru'], ['cypher', 'kayo', 'omen', 'raze', 'viper'], ['chamber', 'fade', 'omen', 'raze', 'viper'], ['breach', 'brimstone', 'chamber', 'neon', 'raze'], ['astra', 'breach', 'cypher', 'jett', 'skye']]","[3, 1, 2, 3, 1, 5]"
Natus Vincere,NAVI,Pearl,8,100,8,0,4,4,55%,45,37,73%,59,22,"[['astra', 'jett', 'kayo', 'killjoy', 'sova'], ['astra', 'gekko', 'jett', 'kayo', 'killjoy']]","[5, 2]"
Natus Vincere,NAVI,Lotus,8,38,3,5,1,7,57%,48,36,39%,39,62,"[['fade', 'killjoy', 'omen', 'viper', 'yoru'], ['breach', 'jett', 'omen', 'sova', 'viper'], ['jett', 'killjoy', 'omen', 'skye', 'viper'], ['harbor', 'killjoy', 'omen', 'skye', 'sova'], ['gekko', 'killjoy', 'omen', 'skye', 'viper'], ['fade', 'kayo', 'killjoy', 'omen', 'raze']]","[2, 1, 1, 1, 1, 2]"
SAW,SAW,Bind,19,63,12,7,8,11,61%,117,75,52%,105,98,"[['harbor', 'raze', 'sage', 'skye', 'viper'], ['astra', 'jett', 'skye', 'sova', 'viper'], ['brimstone', 'raze', 'skye', 'sova', 'viper'], ['astra', 'raze', 'skye', 'sova', 'viper'], ['brimstone', 'cypher', 'jett', 'raze', 'sova'], ['astra', 'cypher', 'jett', 'raze', 'sova']]","[1, 1, 6, 2, 8, 1]"
SAW,SAW,Haven,29,76,22,7,16,13,62%,179,111,54%,159,134,"[['astra', 'breach', 'jett', 'killjoy', 'sova'], ['astra', 'breach', 'killjoy', 'neon', 'sova'], ['astra', 'jett', 'killjoy', 'skye', 'sova'], ['cypher', 'jett', 'omen', 'skye', 'sova'], ['cypher', 'jett', 'kayo', 'omen', 'sova'], ['astra', 'killjoy', 'raze', 'sage', 'sova'], ['cypher', 'omen', 'raze', 'sage', 'sova'], ['breach', 'cypher', 'omen', 'raze', 'sova']]","[4, 4, 3, 4, 2, 7, 1, 4]"
SAW,SAW,Split,13,62,8,5,5,8,53%,62,56,52%,71,66,"[['astra', 'raze', 'sage', 'skye', 'viper'], ['killjoy', 'omen', 'raze', 'reyna', 'sage'], ['astra', 'cypher', 'raze', 'sage', 'skye']]","[1, 3, 9]"
SAW,SAW,Ascent,32,75,24,8,16,16,61%,196,124,59%,184,130,"[['jett', 'kayo', 'killjoy', 'omen', 'sova'], ['astra', 'jett', 'killjoy', 'sage', 'sova'], ['jett', 'killjoy', 'omen', 'sage', 'sova'], ['cypher', 'jett', 'kayo', 'omen', 'sova'], ['astra', 'killjoy', 'raze', 'sage', 'sova'], ['killjoy', 'omen', 'raze', 'sage', 'sova'], ['breach', 'jett', 'killjoy', 'omen', 'sova']]","[1, 2, 4, 2, 19, 3, 1]"
SAW,SAW,Icebox,28,79,22,6,12,16,63%,167,98,61%,169,106,"[['jett', 'killjoy', 'sage', 'sova', 'viper'], ['killjoy', 'raze', 'sage', 'sova', 'viper'], ['jett', 'reyna', 'sage', 'sova', 'viper'], ['jett', 'killjoy', 'skye', 'sova', 'viper'], ['jett', 'killjoy', 'sage', 'skye', 'viper']]","[16, 2, 7, 1, 1]"
SAW,SAW,Breeze,4,50,2,2,2,2,68%,30,14,38%,18,29,"[['cypher', 'reyna', 'skye', 'sova', 'viper'], ['jett', 'reyna', 'skye', 'sova', 'viper']]","[1, 3]"
SAW,SAW,Fracture,2,50,1,1,0,2,57%,8,6,50%,12,12,"[['breach', 'brimstone', 'cypher', 'fade', 'raze'], ['astra', 'breach', 'cypher', 'jett', 'viper']]","[1, 1]"
SAW,SAW,Pearl,6,67,4,2,0,6,52%,24,22,61%,44,28,"[['astra', 'jett', 'kayo', 'killjoy', 'sova'], ['astra', 'fade', 'kayo', 'killjoy', 'viper']]","[4, 2]"
SAW,SAW,Lotus,5,100,5,0,1,4,80%,33,8,58%,34,25,"[['breach', 'neon', 'omen', 'sova', 'viper'], ['breach', 'killjoy', 'neon', 'omen', 'sova']]","[2, 3]"
Team Liquid,TL,Bind,62,50,31,31,23,39,47%,280,315,55%,383,310,"[['fade', 'omen', 'raze', 'skye', 'viper'], ['breach', 'brimstone', 'fade', 'phoenix', 'raze'], ['brimstone', 'raze', 'sage', 'skye', 'viper'], ['brimstone', 'chamber', 'raze', 'skye', 'viper'], ['breach', 'chamber', 'fade', 'omen', 'raze'], ['astra', 'chamber', 'kayo', 'neon', 'sova'], ['breach', 'cypher', 'sage', 'sova', 'viper'], ['astra', 'kayo', 'reyna', 'sova', 'viper'], ['astra', 'jett', 'kayo', 'sova', 'viper'], ['astra', 'jett', 'raze', 'sova', 'viper'], ['brimstone', 'cypher', 'jett', 'raze', 'sage'], ['brimstone', 'jett', 'skye', 'sova', 'viper'], ['brimstone', 'kayo', 'skye', 'sova', 'viper'], ['brimstone', 'jett', 'sage', 'skye', 'viper'], ['brimstone', 'jett', 'phoenix', 'skye', 'viper'], ['brimstone', 'jett', 'phoenix', 'sage', 'skye'], ['brimstone', 'jett', 'reyna', 'sage', 'skye'], ['jett', 'killjoy', 'omen', 'reyna', 'sova'], ['jett', 'killjoy', 'omen', 'raze', 'skye'], ['breach', 'brimstone', 'jett', 'killjoy', 'sova'], ['breach', 'jett', 'killjoy', 'phoenix', 'reyna'], ['breach', 'killjoy', 'phoenix', 'raze', 'sova'], ['cypher', 'omen', 'raze', 'sage', 'sova']]","[5, 2, 3, 3, 2, 1, 1, 2, 2, 2, 4, 2, 2, 1, 3, 9, 1, 3, 2, 4, 1, 1, 6]"
Team Liquid,TL,Haven,62,68,42,20,31,31,58%,364,265,56%,350,278,"[['breach', 'jett', 'killjoy', 'omen', 'skye'], ['breach', 'cypher', 'jett', 'omen', 'sova'], ['breach', 'fade', 'jett', 'omen', 'phoenix'], ['breach', 'chamber', 'fade', 'omen', 'raze'], ['breach', 'chamber', 'jett', 'omen', 'skye'], ['brimstone', 'chamber', 'jett', 'omen', 'skye'], ['astra', 'chamber', 'kayo', 'neon', 'skye'], ['astra', 'jett', 'kayo', 'killjoy', 'sova'], ['astra', 'jett', 'killjoy', 'skye', 'sova'], ['breach', 'cypher', 'jett', 'omen', 'skye'], ['breach', 'cypher', 'kayo', 'omen', 'skye'], ['brimstone', 'killjoy', 'sage', 'skye', 'viper'], ['jett', 'killjoy', 'omen', 'phoenix', 'skye'], ['jett', 'killjoy', 'omen', 'reyna', 'skye'], ['jett', 'killjoy', 'omen', 'sage', 'skye'], ['breach', 'jett', 'killjoy', 'phoenix', 'reyna'], ['cypher', 'omen', 'raze', 'reyna', 'sage']]","[1, 2, 1, 6, 2, 2, 3, 2, 3, 5, 1, 5, 9, 3, 9, 1, 6]"
Team Liquid,TL,Split,52,65,34,18,32,20,51%,290,277,58%,307,222,"[['cypher', 'jett', 'omen', 'sage', 'skye'], ['astra', 'breach', 'chamber', 'kayo', 'neon'], ['astra', 'breach', 'cypher', 'omen', 'raze'], ['astra', 'breach', 'cypher', 'raze', 'sage'], ['breach', 'brimstone', 'omen', 'raze', 'sage'], ['astra', 'breach', 'raze', 'reyna', 'viper'], ['cypher', 'jett', 'omen', 'raze', 'sage'], ['breach', 'cypher', 'omen', 'raze', 'sage'], ['breach', 'cypher', 'jett', 'omen', 'skye'], ['breach', 'cypher', 'kayo', 'omen', 'skye'], ['brimstone', 'jett', 'sage', 'skye', 'viper'], ['breach', 'brimstone', 'cypher', 'jett', 'sage'], ['jett', 'killjoy', 'omen', 'raze', 'reyna'], ['breach', 'jett', 'killjoy', 'omen', 'raze'], ['breach', 'killjoy', 'phoenix', 'raze', 'reyna'], ['cypher', 'omen', 'raze', 'reyna', 'sage']]","[5, 1, 5, 5, 3, 6, 1, 1, 2, 2, 3, 3, 2, 8, 1, 3]"
Team Liquid,TL,Ascent,62,74,46,16,27,35,58%,368,271,58%,377,274,"[['cypher', 'jett', 'kayo', 'omen', 'sova'], ['astra', 'fade', 'jett', 'kayo', 'reyna'], ['chamber', 'fade', 'kayo', 'omen', 'phoenix'], ['jett', 'kayo', 'killjoy', 'omen', 'sova'], ['astra', 'jett', 'kayo', 'killjoy', 'sova'], ['astra', 'jett', 'killjoy', 'reyna', 'sova'], ['jett', 'killjoy', 'omen', 'reyna', 'sova'], ['breach', 'cypher', 'jett', 'omen', 'skye'], ['jett', 'killjoy', 'omen', 'sage', 'sova'], ['jett', 'killjoy', 'omen', 'phoenix', 'sova'], ['breach', 'jett', 'killjoy', 'omen', 'sova'], ['breach', 'jett', 'killjoy', 'phoenix', 'reyna'], ['cypher', 'omen', 'raze', 'reyna', 'sova']]","[7, 3, 5, 4, 1, 7, 3, 4, 2, 14, 9, 2, 1]"
Team Liquid,TL,Icebox,31,65,20,11,16,15,54%,184,157,55%,183,148,"[['harbor', 'jett', 'killjoy', 'skye', 'viper'], ['jett', 'killjoy', 'sage', 'sova', 'viper'], ['jett', 'kayo', 'sage', 'sova', 'viper'], ['chamber', 'fade', 'raze', 'sage', 'viper'], ['fade', 'omen', 'raze', 'sage', 'viper'], ['chamber', 'jett', 'omen', 'sova', 'viper'], ['chamber', 'reyna', 'sage', 'sova', 'viper'], ['jett', 'raze', 'sage', 'sova', 'viper'], ['jett', 'reyna', 'sage', 'sova', 'viper'], ['jett', 'killjoy', 'raze', 'sage', 'viper']]","[1, 4, 2, 7, 2, 2, 1, 2, 4, 6]"
Team Liquid,TL,Breeze,21,86,18,3,5,16,61%,132,86,55%,137,112,"[['chamber', 'jett', 'kayo', 'sova', 'viper'], ['chamber', 'kayo', 'phoenix', 'sova', 'viper'], ['chamber', 'jett', 'skye', 'sova', 'viper'], ['chamber', 'kayo', 'skye', 'sova', 'viper'], ['cypher', 'jett', 'kayo', 'sova', 'viper'], ['cypher', 'jett', 'skye', 'sova', 'viper'], ['cypher', 'jett', 'reyna', 'skye', 'viper']]","[2, 2, 3, 1, 3, 7, 3]"
Team Liquid,TL,Fracture,14,64,9,5,5,9,48%,68,74,57%,92,69,"[['breach', 'brimstone', 'cypher', 'fade', 'raze'], ['cypher', 'omen', 'raze', 'skye', 'viper'], ['astra', 'breach', 'cypher', 'kayo', 'raze'], ['astra', 'breach', 'chamber', 'raze', 'sage'], ['astra', 'breach', 'chamber', 'raze', 'skye'], ['astra', 'breach', 'cypher', 'raze', 'skye'], ['breach', 'brimstone', 'chamber', 'jett', 'neon'], ['breach', 'brimstone', 'cypher', 'jett', 'sage']]","[2, 3, 1, 1, 2, 2, 2, 1]"
Team Liquid,TL,Pearl,1,0,0,1,0,1,0%,0,5,33%,4,8,"[['astra', 'chamber', 'fade', 'phoenix', 'viper']]",[1]
Team Liquid,TL,Lotus,9,33,3,6,2,7,53%,55,48,40%,43,64,"[['fade', 'killjoy', 'omen', 'raze', 'viper'], ['breach', 'fade', 'omen', 'raze', 'viper'], ['fade', 'jett', 'killjoy', 'omen', 'reyna'], ['kayo', 'neon', 'omen', 'skye', 'viper']]","[3, 2, 1, 3]"
Apeks,APK,Bind,3,33,1,2,3,0,49%,18,19,45%,15,18,"[['astra', 'gekko', 'raze', 'skye', 'viper'], ['brimstone', 'fade', 'jett', 'skye', 'viper'], ['brimstone', 'fade', 'raze', 'skye', 'viper']]","[1, 1, 1]"
Apeks,APK,Haven,9,89,8,1,5,4,68%,59,28,57%,51,39,"[['breach', 'jett', 'killjoy', 'omen', 'sova'], ['breach', 'fade', 'killjoy', 'omen', 'raze']]","[8, 1]"
Apeks,APK,Split,4,75,3,1,1,3,42%,10,14,81%,34,8,"[['jett', 'omen', 'sage', 'skye', 'viper'], ['harbor', 'killjoy', 'raze', 'skye', 'viper']]","[3, 1]"
Apeks,APK,Ascent,10,90,9,1,7,3,58%,61,44,72%,62,24,"[['jett', 'kayo', 'killjoy', 'omen', 'sova']]",[10]
Apeks,APK,Icebox,9,89,8,1,5,3,62%,51,31,69%,49,22,"[['jett', 'killjoy', 'sage', 'sova', 'viper']]",[8]
Apeks,APK,Fracture,1,86,0,1,1,0,33%,4,8,38%,3,5,"[['breach', 'brimstone', 'jett', 'killjoy', 'raze']]",[1]
Apeks,APK,Pearl,7,100,6,1,4,3,58%,45,33,63%,51,30,"[['astra', 'cypher', 'gekko', 'jett', 'kayo'], ['astra', 'cypher', 'fade', 'kayo', 'phoenix']]","[4, 3]"
Apeks,APK,Lotus,3,0,3,0,1,2,46%,12,14,78%,28,8,"[['breach', 'jett', 'killjoy', 'omen', 'sova']]",[3]
M80,No alias,Haven,10,50,9,1,5,5,66%,67,34,56%,60,47,"[['breach', 'jett', 'killjoy', 'omen', 'sova']]",[10]
M80,No alias,Split,2,63,1,1,0,2,43%,9,12,64%,16,9,"[['astra', 'jett', 'kayo', 'skye', 'viper']]",[2]
M80,No alias,Ascent,8,100,5,3,2,6,51%,39,37,58%,50,36,"[['breach', 'fade', 'jett', 'kayo', 'omen'], ['jett', 'kayo', 'killjoy', 'omen', 'sova'], ['astra', 'breach', 'fade', 'jett', 'kayo']]","[1, 2, 5]"
M80,No alias,Icebox,3,80,3,0,0,3,93%,14,1,69%,25,11,"[['kayo', 'killjoy', 'sage', 'sova', 'viper']]",[3]
M80,No alias,Fracture,5,75,4,1,3,2,66%,37,19,44%,21,27,"[['breach', 'brimstone', 'cypher', 'jett', 'kayo'], ['breach', 'brimstone', 'cypher', 'jett', 'skye']]","[4, 1]"
M80,No alias,Pearl,9,0,6,3,4,5,58%,49,35,64%,54,30,"[['astra', 'fade', 'jett', 'kayo', 'killjoy'], ['astra', 'jett', 'kayo', 'killjoy', 'sova'], ['astra', 'jett', 'kayo', 'sova', 'viper']]","[5, 2, 2]"
M80,No alias,Lotus,4,0,3,1,0,4,71%,27,11,44%,21,27,"[['fade', 'killjoy', 'omen', 'raze', 'viper'], ['breach', 'jett', 'killjoy', 'omen', 'skye']]","[2, 2]"
NRG Esports,NRG,Bind,72,69,50,22,38,34,55%,399,323,61%,451,286,"[['harbor', 'raze', 'sage', 'skye', 'viper'], ['astra', 'fade', 'raze', 'sage', 'skye'], ['brimstone', 'fade', 'raze', 'sage', 'skye'], ['astra', 'breach', 'chamber', 'fade', 'raze'], ['astra', 'breach', 'chamber', 'fade', 'neon'], ['brimstone', 'chamber', 'fade', 'raze', 'skye'], ['brimstone', 'raze', 'sage', 'skye', 'viper'], ['astra', 'jett', 'skye', 'sova', 'viper'], ['brimstone', 'chamber', 'phoenix', 'sova', 'viper'], ['cypher', 'omen', 'phoenix', 'skye', 'sova'], ['astra', 'raze', 'skye', 'sova', 'viper'], ['astra', 'jett', 'kayo', 'sova', 'viper'], ['astra', 'kayo', 'raze', 'sova', 'viper'], ['brimstone', 'kayo', 'raze', 'sova', 'viper'], ['astra', 'jett', 'raze', 'sova', 'viper'], ['jett', 'omen', 'raze', 'sova', 'viper'], ['astra', 'jett', 'killjoy', 'raze', 'sova'], ['astra', 'cypher', 'phoenix', 'raze', 'sova'], ['jett', 'killjoy', 'omen', 'phoenix', 'sova'], ['cypher', 'omen', 'phoenix', 'raze', 'sova'], ['cypher', 'jett', 'omen', 'phoenix', 'sova'], ['brimstone', 'jett', 'raze', 'skye', 'sova'], ['killjoy', 'omen', 'raze', 'sova', 'yoru'], ['jett', 'omen', 'raze', 'sage', 'skye'], ['brimstone', 'killjoy', 'raze', 'sova', 'yoru'], ['brimstone', 'jett', 'omen', 'sage', 'skye'], ['brimstone', 'killjoy', 'raze', 'reyna', 'sova'], ['jett', 'killjoy', 'omen', 'raze', 'sova']]","[5, 1, 1, 2, 1, 1, 2, 6, 1, 1, 7, 1, 2, 1, 1, 1, 1, 1, 1, 11, 7, 1, 1, 1, 3, 1, 2, 8]"
NRG Esports,NRG,Haven,92,73,67,25,44,48,59%,539,376,59%,569,390,"[['harbor', 'jett', 'killjoy', 'skye', 'viper'], ['astra', 'breach', 'jett', 'killjoy', 'sova'], ['breach', 'jett', 'killjoy', 'omen', 'sova'], ['astra', 'breach', 'chamber', 'raze', 'sova'], ['breach', 'chamber', 'fade', 'omen', 'yoru'], ['breach', 'chamber', 'jett', 'omen', 'skye'], ['kayo', 'killjoy', 'omen', 'sova', 'yoru'], ['astra', 'jett', 'kayo', 'killjoy', 'sova'], ['astra', 'chamber', 'jett', 'kayo', 'sova'], ['chamber', 'jett', 'omen', 'reyna', 'sova'], ['chamber', 'jett', 'kayo', 'omen', 'sova'], ['chamber', 'kayo', 'omen', 'raze', 'sova'], ['astra', 'chamber', 'jett', 'reyna', 'sova'], ['astra', 'cypher', 'jett', 'kayo', 'sova'], ['astra', 'cypher', 'jett', 'phoenix', 'sova'], ['astra', 'jett', 'killjoy', 'raze', 'sova'], ['jett', 'kayo', 'omen', 'sova', 'viper'], ['kayo', 'omen', 'skye', 'sova', 'viper'], ['cypher', 'jett', 'omen', 'phoenix', 'sova'], ['astra', 'cypher', 'jett', 'reyna', 'sova'], ['cypher', 'omen', 'raze', 'reyna', 'sova'], ['breach', 'jett', 'omen', 'reyna', 'sage'], ['brimstone', 'cypher', 'phoenix', 'reyna', 'sova'], ['jett', 'killjoy', 'omen', 'phoenix', 'sova']]","[3, 3, 2, 2, 1, 2, 1, 2, 5, 1, 1, 1, 1, 7, 8, 6, 3, 1, 30, 1, 4, 1, 3, 2]"
NRG Esports,NRG,Split,38,58,22,16,14,24,45%,161,198,64%,279,160,"[['astra', 'jett', 'raze', 'skye', 'viper'], ['astra', 'breach', 'killjoy', 'raze', 'skye'], ['astra', 'kayo', 'killjoy', 'raze', 'viper'], ['chamber', 'fade', 'kayo', 'omen', 'raze'], ['astra', 'breach', 'chamber', 'kayo', 'neon'], ['astra', 'jett', 'kayo', 'sage', 'viper'], ['astra', 'jett', 'sage', 'skye', 'viper'], ['astra', 'jett', 'kayo', 'skye', 'viper'], ['brimstone', 'jett', 'reyna', 'skye', 'viper'], ['astra', 'breach', 'killjoy', 'raze', 'sage'], ['jett', 'omen', 'reyna', 'sage', 'skye'], ['astra', 'breach', 'cypher', 'raze', 'sage'], ['cypher', 'jett', 'omen', 'raze', 'skye'], ['breach', 'jett', 'killjoy', 'omen', 'raze'], ['breach', 'brimstone', 'jett', 'killjoy', 'raze'], ['breach', 'cypher', 'jett', 'omen', 'raze']]","[6, 1, 1, 3, 1, 1, 1, 1, 1, 1, 2, 1, 2, 7, 2, 7]"
