match_id,match_title,event,date,format,teams,score,maps_played,patch,pick_ban_info
542213,Team Heretics vs T1,Valorant Champions 2025,2025-09-18 09:00:00,Bo3,Team Heretics vs T1,2 - 0,2,Patch 11.05,TH ban Abyss; T1 ban Haven; TH pick Lotus; T1 pick Sunset; TH ban Bind; T1 ban Corrode; Ascent remains
542202,MIBR vs FNATIC,Valorant Champions 2025,2025-09-18 11:25:00,Bo3,MIBR vs FNATIC,1 - 2,3,Patch 11.05,FNC ban Sunset; MIBR ban Lotus; FNC pick Bind; MIBR pick Abyss; FNC ban Corrode; MIBR ban Ascent; Haven remains
542209,Team Liquid vs EDward Gaming,Valorant Champions 2025,2025-09-19 09:00:00,Bo3,Team Liquid vs EDward Gaming,2 - 1,3,Patch 11.05,TL ban Haven; EDG ban Lotus; TL pick Sunset; EDG pick Abyss; TL ban Corrode; EDG ban Ascent; Bind remains
542198,Xi Lai Gaming vs Sentinels,Valorant Champions 2025,2025-09-19 12:30:00,Bo3,Xi Lai Gaming vs Sentinels,2 - 1,3,Patch 11.05,XLG ban Corrode; SEN ban Ascent; XLG pick Abyss; SEN pick Lotus; XLG ban Sunset; SEN ban Bind; Haven remains
542203,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming) vs Rex Regum Qeon,Valorant Champions 2025,2025-09-20 09:00:00,Bo3,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming) vs Rex Regum Qeon,1 - 2,3,Patch 11.05,RRQ ban Bind; BLG ban Corrode; RRQ pick Sunset; BLG pick Lotus; RRQ ban Ascent; BLG ban Haven; Abyss remains
542214,G2 Esports vs Dragon Ranger Gaming,Valorant Champions 2025,2025-09-20 12:00:00,Bo3,G2 Esports vs Dragon Ranger Gaming,2 - 0,2,Patch 11.05,DRG ban Bind; G2 ban Corrode; DRG pick Lotus; G2 pick Abyss; DRG ban Haven; G2 ban Sunset; Ascent remains
542210,DRX vs Team Liquid,Valorant Champions 2025,2025-09-21 09:00:00,Bo3,DRX vs Team Liquid,2 - 0,2,Patch 11.05,TL ban Haven; DRX ban Sunset; TL pick Corrode; DRX pick Abyss; TL ban Lotus; DRX ban Ascent; Bind remains
542199,GIANTX vs Xi Lai Gaming,Valorant Champions 2025,2025-09-21 11:20:00,Bo3,GIANTX vs Xi Lai Gaming,2 - 0,2,Patch 11.05,XLG ban Sunset; GX ban Abyss; XLG pick Bind; GX pick Ascent; XLG ban Corrode; GX ban Haven; Lotus remains
542215,T1 vs G2 Esports,Valorant Champions 2025,2025-09-22 09:00:00,Bo3,T1 vs G2 Esports,0 - 2,2,Patch 11.05,G2 ban Bind; T1 ban Abyss; G2 pick Lotus; T1 pick Corrode; G2 ban Ascent; T1 ban Haven; Sunset remains
542204,MIBR vs Rex Regum Qeon,Valorant Champions 2025,2025-09-22 11:15:00,Bo3,MIBR vs Rex Regum Qeon,2 - 0,2,Patch 11.05,RRQ ban Bind; MIBR ban Lotus; RRQ pick Corrode; MIBR pick Abyss; RRQ ban Sunset; MIBR ban Ascent; Haven remains
542265,Paper Rex vs G2 Esports,Valorant Champions 2025,2025-09-25 09:00:00,Bo3,Paper Rex vs G2 Esports,2 - 1,3,Patch 11.05,PRX ban Abyss; G2 ban Bind; PRX pick Lotus; G2 pick Corrode; PRX ban Haven; G2 ban Sunset; Ascent remains
542264,FNATIC vs DRX,Valorant Champions 2025,2025-09-25 12:50:00,Bo3,FNATIC vs DRX,2 - 1,3,Patch 11.05,DRX ban Sunset; FNC ban Abyss; DRX pick Haven; FNC pick Ascent; DRX ban Bind; FNC ban Corrode; Lotus remains
542266,Team Heretics vs MIBR,Valorant Champions 2025,2025-09-26 09:00:00,Bo3,Team Heretics vs MIBR,0 - 2,2,Patch 11.05,MIBR ban Lotus; TH ban Abyss; MIBR pick Corrode; TH pick Sunset; MIBR ban Ascent; TH ban Bind; Haven remains
542267,NRG vs GIANTX,Valorant Champions 2025,2025-09-26 11:35:00,Bo3,NRG vs GIANTX,2 - 0,2,Patch 11.05,GX ban Corrode; NRG ban Sunset; GX pick Haven; NRG pick Lotus; GX ban Bind; NRG ban Ascent; Abyss remains
542273,DRX vs G2 Esports,Valorant Champions 2025,2025-09-27 09:00:00,Bo3,DRX vs G2 Esports,2 - 1,3,Patch 11.05,G2 ban Haven; DRX ban Sunset; G2 pick Lotus; DRX pick Abyss; G2 ban Ascent; DRX ban Corrode; Bind remains
542274,Team Heretics vs GIANTX,Valorant Champions 2025,2025-09-27 12:20:00,Bo3,Team Heretics vs GIANTX,2 - 1,3,Patch 11.05,GX ban Corrode; TH ban Abyss; GX pick Ascent; TH pick Lotus; GX ban Haven; TH ban Sunset; Bind remains
542268,FNATIC vs Paper Rex,Valorant Champions 2025,2025-09-28 09:00:00,Bo3,FNATIC vs Paper Rex,2 - 1,3,Patch 11.05,PRX ban Abyss; FNC ban Sunset; PRX pick Bind; FNC pick Haven; PRX ban Ascent; FNC ban Corrode; Lotus remains
542269,MIBR vs NRG,Valorant Champions 2025,2025-09-28 12:20:00,Bo3,MIBR vs NRG,1 - 2,3,Patch 11.05,MIBR ban Lotus; NRG ban Sunset; MIBR pick Abyss; NRG pick Haven; MIBR ban Ascent; NRG ban Bind; Corrode remains
542277,Paper Rex vs Team Heretics,Valorant Champions 2025,2025-09-29 09:00:00,Bo3,Paper Rex vs Team Heretics,2 - 1,3,Patch 11.05,TH ban Sunset; PRX ban Haven; TH pick Ascent; PRX pick Bind; TH ban Abyss; PRX ban Corrode; Lotus remains
542276,MIBR vs DRX,Valorant Champions 2025,2025-09-29 12:20:00,Bo3,MIBR vs DRX,1 - 2,3,Patch 11.05,MIBR ban Abyss; DRX ban Corrode; MIBR pick Sunset; DRX pick Ascent; MIBR ban Haven; DRX ban Lotus; Bind remains
542270,FNATIC vs NRG,Valorant Champions 2025,2025-10-03 07:00:00,Bo3,FNATIC vs NRG,0 - 2,2,Patch 11.05,FNC ban Corrode; NRG ban Haven; FNC pick Ascent; NRG pick Abyss; FNC ban Sunset; NRG ban Bind; Lotus remains
542278,DRX vs Paper Rex,Valorant Champions 2025,2025-10-03 09:35:00,Bo3,DRX vs Paper Rex,2 - 0,2,Patch 11.05,DRX ban Sunset; PRX ban Abyss; DRX pick Ascent; PRX pick Lotus; DRX ban Bind; PRX ban Haven; Corrode remains
542279,FNATIC vs DRX,Valorant Champions 2025,2025-10-04 07:00:00,Bo5,FNATIC vs DRX,3 - 1,4,Patch 11.05,FNC ban Abyss; DRX ban Lotus; FNC pick Sunset; DRX pick Corrode; FNC pick Haven; DRX pick Bind; Ascent remains
542272,NRG vs FNATIC,Valorant Champions 2025,2025-10-05 07:00:00,Bo5,NRG vs FNATIC,3 - 2,5,Patch 11.05,NRG ban Haven; NRG ban Bind; NRG pick Corrode; FNC pick Lotus; NRG pick Abyss; FNC pick Ascent; Sunset remains
