file_name,column_name,description
detailed_matches_player_stats.csv,player_name,Player's in-game name.
detailed_matches_player_stats.csv,player_id,Unique player identifier.
detailed_matches_player_stats.csv,player_team,Player's team.
detailed_matches_player_stats.csv,stat_type,Type of statistic ('map' or 'overall').
detailed_matches_player_stats.csv,agent,The agent played by the player on the map.
detailed_matches_player_stats.csv,rating,Player rating for the specific map/match.
detailed_matches_player_stats.csv,acs,Average Combat Score.
detailed_matches_player_stats.csv,k,Total kills.
detailed_matches_player_stats.csv,d,Total deaths.
detailed_matches_player_stats.csv,a,Total assists.
detailed_matches_player_stats.csv,kd_diff,Kill/Death difference.
detailed_matches_player_stats.csv,kast,"Percentage of rounds with a Kill, Assist, Survived, or Traded."
detailed_matches_player_stats.csv,adr,Average Damage per Round.
detailed_matches_player_stats.csv,hs_percent,Headshot percentage.
detailed_matches_player_stats.csv,fk,First Kills.
detailed_matches_player_stats.csv,fd,First Deaths.
detailed_matches_player_stats.csv,fk_fd_diff,First Kill/First Death difference.
detailed_matches_player_stats.csv,map_name,The name of the map.
detailed_matches_player_stats.csv,map_winner,The team that won the map.
detailed_matches_overview.csv,match_id,Unique identifier for each match.
detailed_matches_overview.csv,match_title,"The title of the match (e.g., 'Gen.G vs Sentinels')."
detailed_matches_overview.csv,event,The name of the event.
detailed_matches_overview.csv,date,Date of the match.
detailed_matches_overview.csv,format,"Match format (e.g., Bo3)."
detailed_matches_overview.csv,teams,A string listing the two competing teams.
detailed_matches_overview.csv,score,The final match score.
detailed_matches_overview.csv,maps_played,Number of maps played in the match.
detailed_matches_overview.csv,patch,The game patch version the match was played on.
detailed_matches_overview.csv,pick_ban_info,Details about the map pick and ban phase.
detailed_matches_maps.csv,match_id,Unique identifier for the match.
detailed_matches_maps.csv,map_name,Name of the map.
detailed_matches_maps.csv,map_order,The order in which the map was played within the match.
detailed_matches_maps.csv,score,The final score of the map.
detailed_matches_maps.csv,winner,The team that won the map.
detailed_matches_maps.csv,duration,The duration of the map.
detailed_matches_maps.csv,picked_by,"The team that picked the map, or 'Decider'."
